paper_target,paper_label_or_metric,public_source_file,reproduction_command,source_sha256,provenance_class
Controlled Score/SD,Author-resolved three-run controlled source,artifacts/camera_ready/controlled_trials_author_resolved.csv,,a47e58d3c47654102b9e1562955594813e100b7486d8dce06ab28a40c88c16e0,AUTHOR_RESOLVED_AGGREGATE
Appendix Score/SD/NRR,252 exact final displayed values,artifacts/camera_ready/score_nrr_std_camera_ready.csv,,9de0e4a2434b0f7fe9e1684b2d8001cabd671cd6fcf92a88680aaeb7fb2b92bb,CAMERA_READY_PAPER_FACING
Controlled NRR / Noise Ceiling,Deterministic derivation from current controlled scores,artifacts/camera_ready/score_nrr_frozen.csv,python scripts/reproduce_noise_ceilings.py,8adde2cfdefb7309592098be284e0a36d842016a5c7e5d524379d3078c1e88fd,CAMERA_READY_REPRODUCTION_SCRIPT
Noise Ceilings,24 Hard/Soft Kc cells,artifacts/camera_ready/noise_ceilings_reproduced.csv,python scripts/reproduce_noise_ceilings.py,ae354c3cac98ac1f7ef778c7f828e3b5176f189282100cdbf6ca7fb1dfcc198a,CAMERA_READY_REPRODUCTION_SCRIPT
Table 1,Conditional Retrieval Specification Matrix,artifacts/camera_ready/retrieval_spec_matrix.csv,python scripts/reproduce_retrieval_spec_matrix.py,83b8baa90973596708edfad58b7bcf22ad8c5ba9ad05a70292948a15d3b72ccd,CAMERA_READY_REPRODUCTION_SCRIPT
Figure 2,Final corrected Score/NRR source,artifacts/camera_ready/score_nrr_frozen.csv,python scripts/figures/plot_table1_new_impact_gap.py --csv artifacts/camera_ready/score_nrr_frozen.csv --out-dir reproduced_figures --combined,8adde2cfdefb7309592098be284e0a36d842016a5c7e5d524379d3078c1e88fd,CAMERA_READY_PAPER_FACING
Figure 2,Final validated PDF,artifacts/figures/table1_new_impact_gap_faceted.pdf,,cd0327ccd688f923df234d49fe0eafd50d253574be64672d7311849a1c1c55b8,CAMERA_READY_PAPER_FACING
Figure 3,Absolute positional variance,artifacts/camera_ready/position_variance_camera_ready.csv,python scripts/figures/plot_table3_new_absolute_variance_bar.py --csv artifacts/camera_ready/position_variance_camera_ready.csv --out-dir reproduced_figures,483cac2964f32318b93289eb08a7f732e2562ee57769a224f6e3fecca5e31817,CAMERA_READY_PAPER_FACING
CpS / Figure 4,Complete final Score/token/Average Cost/CpS grid,artifacts/camera_ready/table4_author_resolved.csv,python scripts/reproduce_cps.py,850461cc080d9f6fcc7ead8a035bc1c5d879f87c49fb861ad325734830eb676b,AUTHOR_RESOLVED_AGGREGATE
Figure 4,Final plotting source,artifacts/camera_ready/cps_camera_ready.csv,python scripts/figures/plot_table4_new_hard_negative_tax.py --csv artifacts/camera_ready/cps_camera_ready.csv --out-dir reproduced_figures,e534a0e159419994454556927dc22a1a9b2fec94f16fd5bbe37e872d2426b874,CAMERA_READY_PAPER_FACING
Figure 4,Final validated PDF,artifacts/figures/table4_new_hard_negative_tax.pdf,,3d9fbff67c4f944ccf60bc328beffa37cd3c0182f7606cd2b4ce54e0ef14838e,CAMERA_READY_PAPER_FACING
Appendix CpS,96 exact controlled displayed values,artifacts/camera_ready/cps_displayed_camera_ready.csv,,81478c35d0984c7f6969ffdd2a5faf4d8799901562268422b12af2fb3b5f03ba,CAMERA_READY_PAPER_FACING
